index,District,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - Male,Percent; SEX AND AGE - Male,Estimate; SEX AND AGE - Female,Percent; SEX AND AGE - Female,Estimate; SEX AND AGE - Under 5 years,Percent; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 9 years,Percent; SEX AND AGE - 5 to 9 years,Estimate; SEX AND AGE - 10 to 14 years,Percent; SEX AND AGE - 10 to 14 years,Estimate; SEX AND AGE - 15 to 19 years,Percent; SEX AND AGE - 15 to 19 years,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Percent; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over,Percent; SEX AND AGE - 85 years and over,Estimate; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 21 years and over,Percent; SEX AND AGE - 21 years and over,Estimate; SEX AND AGE - 62 years and over,Percent; SEX AND AGE - 62 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 18 years and over.1,Percent; SEX AND AGE - 18 years and over.1,Estimate; SEX AND AGE - Male.1,Percent; SEX AND AGE - Male.1,Estimate; SEX AND AGE - Female.1,Percent; SEX AND AGE - Female.1,Estimate; SEX AND AGE - 65 years and over.1,Percent; SEX AND AGE - 65 years and over.1,Estimate; SEX AND AGE - Male.2,Percent; SEX AND AGE - Male.2,Estimate; SEX AND AGE - Female.2,Percent; SEX AND AGE - Female.2,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - One race.1,Percent; RACE - One race.1,Estimate; RACE - One race - White,Percent; RACE - One race - White,Estimate; RACE - One race - Black or African American,Percent; RACE - One race - Black or African American,Estimate; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - American Indian and Alaska Native,Estimate; RACE - One race - Asian,Percent; RACE - One race - Asian,Estimate; RACE - One race - Asian - Asian Indian,Percent; RACE - One race - Asian - Asian Indian,Estimate; RACE - One race - Asian - Chinese,Percent; RACE - One race - Asian - Chinese,Estimate; RACE - One race - Asian - Filipino,Percent; RACE - One race - Asian - Filipino,Estimate; RACE - One race - Asian - Japanese,Percent; RACE - One race - Asian - Japanese,Estimate; RACE - One race - Asian - Korean,Percent; RACE - One race - Asian - Korean,Estimate; RACE - One race - Asian - Vietnamese,Percent; RACE - One race - Asian - Vietnamese,Estimate; RACE - One race - Asian - Other Asian,Percent; RACE - One race - Asian - Other Asian,Estimate; RACE - One race - Some other race,Percent; RACE - One race - Some other race,Estimate; RACE - Two or more races.1,Percent; RACE - Two or more races.1,Estimate; RACE - Two or more races - White and Black or African American,Percent; RACE - Two or more races - White and Black or African American
0,0,149480.0,149480.0,71681.0,48.0,77799.0,52.0,6876.0,4.6,8073.0,5.4,8629.0,5.8,10613.0,7.1,9009.0,6.0,14483.0,9.7,19220.0,12.9,24514.0,16.4,11705.0,7.8,9835.0,6.6,12727.0,8.5,9750.0,6.5,4046.0,2.7,44.1,119451.0,79.9,113029.0,75.6,32268.0,21.6,26523.0,17.7,119451.0,119451.0,56721.0,47.5,62730.0,52.5,26523.0,26523.0,11206.0,42.3,15317.0,57.7,149480.0,149480.0,146648.0,98.1,2832.0,1.9,146648.0,98.1,139996.0,93.7,3655.0,2.4,275.0,0.2,1626.0,1.1,328.0,0.2,221.0,0.1,260.0,0.2,67.0,0.0,180.0,0.1,151.0,0.1,419.0,0.3,1047.0,0.7,2832.0,1.9,954.0,0.6
1,1,160646.0,160646.0,79252.0,49.3,81394.0,50.7,9057.0,5.6,11956.0,7.4,13200.0,8.2,11746.0,7.3,8612.0,5.4,14059.0,8.8,25698.0,16.0,28564.0,17.8,10432.0,6.5,8164.0,5.1,9814.0,6.1,6877.0,4.3,2467.0,1.5,40.0,118463.0,73.7,112740.0,70.2,23581.0,14.7,19158.0,11.9,118463.0,118463.0,57263.0,48.3,61200.0,51.7,19158.0,19158.0,7836.0,40.9,11322.0,59.1,160646.0,160646.0,158219.0,98.5,2427.0,1.5,158219.0,98.5,147046.0,91.5,4032.0,2.5,59.0,0.0,5574.0,3.5,1518.0,0.9,1544.0,1.0,167.0,0.1,91.0,0.1,238.0,0.1,464.0,0.3,1552.0,1.0,1292.0,0.8,2427.0,1.5,481.0,0.3
2,2,160370.0,160370.0,76434.0,47.7,83936.0,52.3,6792.0,4.2,6928.0,4.3,7931.0,4.9,8479.0,5.3,6728.0,4.2,13898.0,8.7,19569.0,12.2,23726.0,14.8,13449.0,8.4,12935.0,8.1,19336.0,12.1,15319.0,9.6,5280.0,3.3,49.3,133482.0,83.2,129083.0,80.5,47611.0,29.7,39935.0,24.9,133482.0,133482.0,62943.0,47.2,70539.0,52.8,39935.0,39935.0,16878.0,42.3,23057.0,57.7,160370.0,160370.0,157241.0,98.0,3129.0,2.0,157241.0,98.0,148256.0,92.4,4262.0,2.7,1134.0,0.7,1280.0,0.8,280.0,0.2,491.0,0.3,101.0,0.1,43.0,0.0,17.0,0.0,158.0,0.1,190.0,0.1,2309.0,1.4,3129.0,2.0,1020.0,0.6
3,3,163232.0,163232.0,78414.0,48.0,84818.0,52.0,8455.0,5.2,9473.0,5.8,9933.0,6.1,10791.0,6.6,10575.0,6.5,19936.0,12.2,23931.0,14.7,23637.0,14.5,11158.0,6.8,10188.0,6.2,11393.0,7.0,9298.0,5.7,4464.0,2.7,40.6,128261.0,78.6,122364.0,75.0,30603.0,18.7,25155.0,15.4,128261.0,128261.0,60400.0,47.1,67861.0,52.9,25155.0,25155.0,9698.0,38.6,15457.0,61.4,163232.0,163232.0,160006.0,98.0,3226.0,2.0,160006.0,98.0,150507.0,92.2,3377.0,2.1,176.0,0.1,2890.0,1.8,257.0,0.2,633.0,0.4,261.0,0.2,18.0,0.0,235.0,0.1,96.0,0.1,1390.0,0.9,3056.0,1.9,3226.0,2.0,1209.0,0.7
4,4,167874.0,167874.0,80309.0,47.8,87565.0,52.2,10172.0,6.1,11155.0,6.6,12117.0,7.2,10362.0,6.2,8780.0,5.2,19594.0,11.7,26024.0,15.5,28003.0,16.7,10840.0,6.5,9005.0,5.4,10162.0,6.1,7773.0,4.6,3887.0,2.3,39.9,127366.0,75.9,122182.0,72.8,26877.0,16.0,21822.0,13.0,127366.0,127366.0,59579.0,46.8,67787.0,53.2,21822.0,21822.0,8591.0,39.4,13231.0,60.6,167874.0,167874.0,164954.0,98.3,2920.0,1.7,164954.0,98.3,144907.0,86.3,3678.0,2.2,270.0,0.2,4324.0,2.6,299.0,0.2,1068.0,0.6,186.0,0.1,65.0,0.0,393.0,0.2,1131.0,0.7,1182.0,0.7,11740.0,7.0,2920.0,1.7,690.0,0.4
5,5,168829.0,168829.0,83113.0,49.2,85716.0,50.8,9077.0,5.4,10697.0,6.3,13154.0,7.8,11916.0,7.1,8379.0,5.0,14051.0,8.3,24661.0,14.6,30875.0,18.3,12279.0,7.3,10215.0,6.1,12667.0,7.5,7898.0,4.7,2960.0,1.8,42.5,128476.0,76.1,122013.0,72.3,28854.0,17.1,23525.0,13.9,128476.0,128476.0,62267.0,48.5,66209.0,51.5,23525.0,23525.0,10246.0,43.6,13279.0,56.4,168829.0,168829.0,167336.0,99.1,1493.0,0.9,167336.0,99.1,160939.0,95.3,1068.0,0.6,209.0,0.1,3618.0,2.1,1022.0,0.6,869.0,0.5,301.0,0.2,32.0,0.0,919.0,0.5,164.0,0.1,311.0,0.2,1404.0,0.8,1493.0,0.9,246.0,0.1
6,6,158192.0,158192.0,75589.0,47.8,82603.0,52.2,8586.0,5.4,10091.0,6.4,11500.0,7.3,11957.0,7.6,9591.0,6.1,17071.0,10.8,21021.0,13.3,25314.0,16.0,11222.0,7.1,7558.0,4.8,11692.0,7.4,8673.0,5.5,3916.0,2.5,40.3,120561.0,76.2,113619.0,71.8,28690.0,18.1,24281.0,15.3,120561.0,120561.0,56367.0,46.8,64194.0,53.2,24281.0,24281.0,9782.0,40.3,14499.0,59.7,158192.0,158192.0,154510.0,97.7,3682.0,2.3,154510.0,97.7,128352.0,81.1,13682.0,8.6,66.0,0.0,2962.0,1.9,188.0,0.1,620.0,0.4,198.0,0.1,49.0,0.0,295.0,0.2,775.0,0.5,837.0,0.5,9448.0,6.0,3682.0,2.3,1041.0,0.7
7,7,162398.0,162398.0,79831.0,49.2,82567.0,50.8,11323.0,7.0,11340.0,7.0,11640.0,7.2,12628.0,7.8,11838.0,7.3,21133.0,13.0,24074.0,14.8,24941.0,15.4,9873.0,6.1,7666.0,4.7,8317.0,5.1,5575.0,3.4,2050.0,1.3,35.6,120425.0,74.2,112931.0,69.5,20311.0,12.5,15942.0,9.8,120425.0,120425.0,57965.0,48.1,62460.0,51.9,15942.0,15942.0,6432.0,40.3,9510.0,59.7,162398.0,162398.0,158828.0,97.8,3570.0,2.2,158828.0,97.8,116200.0,71.6,7048.0,4.3,165.0,0.1,24086.0,14.8,2792.0,1.7,1537.0,0.9,574.0,0.4,48.0,0.0,239.0,0.1,2359.0,1.5,16537.0,10.2,11218.0,6.9,3570.0,2.2,861.0,0.5
8,8,156026.0,156026.0,72506.0,46.5,83520.0,53.5,8560.0,5.5,9934.0,6.4,9019.0,5.8,12673.0,8.1,14085.0,9.0,19349.0,12.4,20718.0,13.3,21352.0,13.7,10257.0,6.6,8970.0,5.7,10347.0,6.6,7158.0,4.6,3604.0,2.3,37.4,122987.0,78.8,113560.0,72.8,26109.0,16.7,21109.0,13.5,122987.0,122987.0,56036.0,45.6,66951.0,54.4,21109.0,21109.0,9029.0,42.8,12080.0,57.2,156026.0,156026.0,153161.0,98.2,2865.0,1.8,153161.0,98.2,127491.0,81.7,3525.0,2.3,90.0,0.1,18860.0,12.1,2824.0,1.8,10527.0,6.7,283.0,0.2,1336.0,0.9,2399.0,1.5,648.0,0.4,843.0,0.5,3051.0,2.0,2865.0,1.8,555.0,0.4
9,9,169133.0,169133.0,83303.0,49.3,85830.0,50.7,9240.0,5.5,10723.0,6.3,11819.0,7.0,12975.0,7.7,10071.0,6.0,19204.0,11.4,26107.0,15.4,26082.0,15.4,10889.0,6.4,9651.0,5.7,11787.0,7.0,7633.0,4.5,2952.0,1.7,39.3,130009.0,76.9,121860.0,72.0,27548.0,16.3,22372.0,13.2,130009.0,130009.0,63276.0,48.7,66733.0,51.3,22372.0,22372.0,10015.0,44.8,12357.0,55.2,169133.0,169133.0,166259.0,98.3,2874.0,1.7,166259.0,98.3,154830.0,91.5,5834.0,3.4,417.0,0.2,1967.0,1.2,211.0,0.1,577.0,0.3,110.0,0.1,30.0,0.0,271.0,0.2,270.0,0.2,498.0,0.3,3196.0,1.9,2874.0,1.7,726.0,0.4
10,10,159515.0,159515.0,74625.0,46.8,84890.0,53.2,9431.0,5.9,8861.0,5.6,10073.0,6.3,12027.0,7.5,14352.0,9.0,30004.0,18.8,22751.0,14.3,20838.0,13.1,8341.0,5.2,6978.0,4.4,8663.0,5.4,5030.0,3.2,2166.0,1.4,33.0,123631.0,77.5,116898.0,73.3,19780.0,12.4,15859.0,9.9,123631.0,123631.0,56470.0,45.7,67161.0,54.3,15859.0,15859.0,6072.0,38.3,9787.0,61.7,159515.0,159515.0,156167.0,97.9,3348.0,2.1,156167.0,97.9,57570.0,36.1,69445.0,43.5,463.0,0.3,11956.0,7.5,1059.0,0.7,2043.0,1.3,331.0,0.2,180.0,0.1,258.0,0.2,7617.0,4.8,468.0,0.3,16583.0,10.4,3348.0,2.1,1084.0,0.7
11,11,166813.0,166813.0,84000.0,50.4,82813.0,49.6,9829.0,5.9,7180.0,4.3,6784.0,4.1,8600.0,5.2,16293.0,9.8,38840.0,23.3,23913.0,14.3,20623.0,12.4,7905.0,4.7,7733.0,4.6,9600.0,5.8,6231.0,3.7,3282.0,2.0,33.4,138665.0,83.1,131812.0,79.0,23613.0,14.2,19113.0,11.5,138665.0,138665.0,69495.0,50.1,69170.0,49.9,19113.0,19113.0,8277.0,43.3,10836.0,56.7,166813.0,166813.0,155164.0,93.0,11649.0,7.0,155164.0,93.0,119983.0,71.9,10723.0,6.4,604.0,0.4,13342.0,8.0,3009.0,1.8,4548.0,2.7,307.0,0.2,467.0,0.3,957.0,0.6,1773.0,1.1,2281.0,1.4,10457.0,6.3,11649.0,7.0,8954.0,5.4
12,12,161396.0,161396.0,79229.0,49.1,82167.0,50.9,9048.0,5.6,9308.0,5.8,10533.0,6.5,13474.0,8.3,11768.0,7.3,19642.0,12.2,22496.0,13.9,24899.0,15.4,10231.0,6.3,7723.0,4.8,10296.0,6.4,7700.0,4.8,4278.0,2.7,38.3,125533.0,77.8,116233.0,72.0,26563.0,16.5,22274.0,13.8,125533.0,125533.0,60690.0,48.3,64843.0,51.7,22274.0,22274.0,8801.0,39.5,13473.0,60.5,161396.0,161396.0,158272.0,98.1,3124.0,1.9,158272.0,98.1,134702.0,83.5,12687.0,7.9,267.0,0.2,6668.0,4.1,1108.0,0.7,1969.0,1.2,239.0,0.1,220.0,0.1,431.0,0.3,1639.0,1.0,1062.0,0.7,3855.0,2.4,3124.0,1.9,1371.0,0.8
13,13,158163.0,158163.0,75397.0,47.7,82766.0,52.3,9148.0,5.8,10479.0,6.6,9520.0,6.0,8613.0,5.4,6738.0,4.3,19880.0,12.6,24507.0,15.5,26330.0,16.6,10007.0,6.3,8524.0,5.4,12808.0,8.1,8042.0,5.1,3567.0,2.3,41.1,122759.0,77.6,119092.0,75.3,29176.0,18.4,24417.0,15.4,122759.0,122759.0,57780.0,47.1,64979.0,52.9,24417.0,24417.0,10273.0,42.1,14144.0,57.9,158163.0,158163.0,155414.0,98.3,2749.0,1.7,155414.0,98.3,135700.0,85.8,3485.0,2.2,67.0,0.0,14941.0,9.4,6538.0,4.1,4902.0,3.1,434.0,0.3,523.0,0.3,826.0,0.5,549.0,0.3,1169.0,0.7,1221.0,0.8,2749.0,1.7,677.0,0.4
14,14,155414.0,155414.0,74308.0,47.8,81106.0,52.2,10965.0,7.1,10229.0,6.6,10760.0,6.9,14046.0,9.0,12949.0,8.3,18837.0,12.1,20612.0,13.3,21079.0,13.6,9168.0,5.9,7657.0,4.9,8613.0,5.5,7379.0,4.7,3120.0,2.0,35.0,115923.0,74.6,106500.0,68.5,23499.0,15.1,19112.0,12.3,115923.0,115923.0,53969.0,46.6,61954.0,53.4,19112.0,19112.0,7656.0,40.1,11456.0,59.9,155414.0,155414.0,151510.0,97.5,3904.0,2.5,151510.0,97.5,98815.0,63.6,22963.0,14.8,804.0,0.5,3860.0,2.5,511.0,0.3,495.0,0.3,131.0,0.1,0.0,0.0,171.0,0.1,1845.0,1.2,707.0,0.5,25047.0,16.1,3904.0,2.5,1845.0,1.2
15,15,156868.0,156868.0,73938.0,47.1,82930.0,52.9,6274.0,4.0,7169.0,4.6,7802.0,5.0,17587.0,11.2,22823.0,14.5,15932.0,10.2,17740.0,11.3,21606.0,13.8,11096.0,7.1,8973.0,5.7,10072.0,6.4,6524.0,4.2,3270.0,2.1,35.7,130266.0,83.0,110580.0,70.5,25142.0,16.0,19866.0,12.7,130266.0,130266.0,60371.0,46.3,69895.0,53.7,19866.0,19866.0,8556.0,43.1,11310.0,56.9,156868.0,156868.0,153061.0,97.6,3807.0,2.4,153061.0,97.6,139191.0,88.7,4008.0,2.6,330.0,0.2,6949.0,4.4,1193.0,0.8,2385.0,1.5,325.0,0.2,312.0,0.2,928.0,0.6,545.0,0.3,1261.0,0.8,2548.0,1.6,3807.0,2.4,1320.0,0.8
16,16,159154.0,159154.0,78168.0,49.1,80986.0,50.9,8490.0,5.3,9717.0,6.1,9883.0,6.2,9057.0,5.7,9489.0,6.0,21018.0,13.2,24266.0,15.2,25545.0,16.1,10266.0,6.5,8211.0,5.2,11329.0,7.1,8044.0,5.1,3839.0,2.4,40.3,124977.0,78.5,120168.0,75.5,27863.0,17.5,23212.0,14.6,124977.0,124977.0,60148.0,48.1,64829.0,51.9,23212.0,23212.0,9691.0,41.7,13521.0,58.3,159154.0,159154.0,156449.0,98.3,2705.0,1.7,156449.0,98.3,129878.0,81.6,9547.0,6.0,104.0,0.1,14064.0,8.8,2314.0,1.5,7521.0,4.7,597.0,0.4,126.0,0.1,311.0,0.2,1906.0,1.2,1289.0,0.8,2838.0,1.8,2705.0,1.7,671.0,0.4
17,17,170799.0,170799.0,85532.0,50.1,85267.0,49.9,10412.0,6.1,11864.0,6.9,12334.0,7.2,11130.0,6.5,7165.0,4.2,18617.0,10.9,29435.0,17.2,29922.0,17.5,11053.0,6.5,8716.0,5.1,10113.0,5.9,7087.0,4.1,2951.0,1.7,40.1,127783.0,74.8,123389.0,72.2,25322.0,14.8,20151.0,11.8,127783.0,127783.0,63834.0,50.0,63949.0,50.0,20151.0,20151.0,8866.0,44.0,11285.0,56.0,170799.0,170799.0,166624.0,97.6,4175.0,2.4,166624.0,97.6,146688.0,85.9,3481.0,2.0,300.0,0.2,13404.0,7.8,4943.0,2.9,5157.0,3.0,289.0,0.2,330.0,0.2,1085.0,0.6,935.0,0.5,665.0,0.4,2751.0,1.6,4175.0,2.4,1372.0,0.8
18,18,165030.0,165030.0,81357.0,49.3,83673.0,50.7,10342.0,6.3,7960.0,4.8,7085.0,4.3,10564.0,6.4,16770.0,10.2,35695.0,21.6,23476.0,14.2,20152.0,12.2,8529.0,5.2,6673.0,4.0,8403.0,5.1,6372.0,3.9,3009.0,1.8,32.7,134586.0,81.6,126254.0,76.5,21700.0,13.1,17784.0,10.8,134586.0,134586.0,65844.0,48.9,68742.0,51.1,17784.0,17784.0,7220.0,40.6,10564.0,59.4,165030.0,165030.0,150969.0,91.5,14061.0,8.5,150969.0,91.5,115734.0,70.1,13604.0,8.2,180.0,0.1,11800.0,7.2,2306.0,1.4,4600.0,2.8,418.0,0.3,356.0,0.2,1094.0,0.7,1765.0,1.1,1261.0,0.8,9553.0,5.8,14061.0,8.5,11124.0,6.7
19,18,165030.0,165030.0,81357.0,49.3,83673.0,50.7,10342.0,6.3,7960.0,4.8,7085.0,4.3,10564.0,6.4,16770.0,10.2,35695.0,21.6,23476.0,14.2,20152.0,12.2,8529.0,5.2,6673.0,4.0,8403.0,5.1,6372.0,3.9,3009.0,1.8,32.7,134586.0,81.6,126254.0,76.5,21700.0,13.1,17784.0,10.8,134586.0,134586.0,65844.0,48.9,68742.0,51.1,17784.0,17784.0,7220.0,40.6,10564.0,59.4,165030.0,165030.0,150969.0,91.5,14061.0,8.5,150969.0,91.5,115734.0,70.1,13604.0,8.2,180.0,0.1,11800.0,7.2,2306.0,1.4,4600.0,2.8,418.0,0.3,356.0,0.2,1094.0,0.7,1765.0,1.1,1261.0,0.8,9553.0,5.8,14061.0,8.5,11124.0,6.7
20,19,158048.0,158048.0,74766.0,47.3,83282.0,52.7,8043.0,5.1,8253.0,5.2,8736.0,5.5,8646.0,5.5,9810.0,6.2,25285.0,16.0,23115.0,14.6,24079.0,15.2,10270.0,6.5,8707.0,5.5,11811.0,7.5,7929.0,5.0,3364.0,2.1,39.5,127566.0,80.7,122456.0,77.5,27872.0,17.6,23104.0,14.6,127566.0,127566.0,59832.0,46.9,67734.0,53.1,23104.0,23104.0,9015.0,39.0,14089.0,61.0,158048.0,158048.0,155868.0,98.6,2180.0,1.4,155868.0,98.6,123583.0,78.2,7476.0,4.7,136.0,0.1,23240.0,14.7,3377.0,2.1,14872.0,9.4,940.0,0.6,388.0,0.2,308.0,0.2,2553.0,1.6,802.0,0.5,1263.0,0.8,2180.0,1.4,649.0,0.4
21,20,168033.0,168033.0,82315.0,49.0,85718.0,51.0,10099.0,6.0,12395.0,7.4,12510.0,7.4,13434.0,8.0,8882.0,5.3,13890.0,8.3,26184.0,15.6,29498.0,17.6,11304.0,6.7,8635.0,5.1,11230.0,6.7,6713.0,4.0,3259.0,1.9,40.3,125406.0,74.6,117386.0,69.9,26083.0,15.5,21202.0,12.6,125406.0,125406.0,59977.0,47.8,65429.0,52.2,21202.0,21202.0,9194.0,43.4,12008.0,56.6,168033.0,168033.0,165875.0,98.7,2158.0,1.3,165875.0,98.7,153184.0,91.2,2329.0,1.4,105.0,0.1,8487.0,5.1,2072.0,1.2,3873.0,2.3,205.0,0.1,92.0,0.1,970.0,0.6,466.0,0.3,809.0,0.5,1735.0,1.0,2158.0,1.3,397.0,0.2
22,20,168033.0,168033.0,82315.0,49.0,85718.0,51.0,10099.0,6.0,12395.0,7.4,12510.0,7.4,13434.0,8.0,8882.0,5.3,13890.0,8.3,26184.0,15.6,29498.0,17.6,11304.0,6.7,8635.0,5.1,11230.0,6.7,6713.0,4.0,3259.0,1.9,40.3,125406.0,74.6,117386.0,69.9,26083.0,15.5,21202.0,12.6,125406.0,125406.0,59977.0,47.8,65429.0,52.2,21202.0,21202.0,9194.0,43.4,12008.0,56.6,168033.0,168033.0,165875.0,98.7,2158.0,1.3,165875.0,98.7,153184.0,91.2,2329.0,1.4,105.0,0.1,8487.0,5.1,2072.0,1.2,3873.0,2.3,205.0,0.1,92.0,0.1,970.0,0.6,466.0,0.3,809.0,0.5,1735.0,1.0,2158.0,1.3,397.0,0.2
23,21,154751.0,154751.0,74131.0,47.9,80620.0,52.1,9124.0,5.9,9748.0,6.3,9945.0,6.4,10648.0,6.9,8197.0,5.3,14607.0,9.4,23720.0,15.3,25886.0,16.7,10796.0,7.0,8951.0,5.8,10867.0,7.0,8283.0,5.4,3979.0,2.6,41.5,118960.0,76.9,113158.0,73.1,28353.0,18.3,23129.0,14.9,118960.0,118960.0,55023.0,46.3,63937.0,53.7,23129.0,23129.0,9268.0,40.1,13861.0,59.9,154751.0,154751.0,153127.0,99.0,1624.0,1.0,153127.0,99.0,121575.0,78.6,20783.0,13.4,289.0,0.2,8905.0,5.8,1293.0,0.8,3644.0,2.4,375.0,0.2,200.0,0.1,490.0,0.3,2039.0,1.3,864.0,0.6,1575.0,1.0,1624.0,1.0,573.0,0.4
24,22,171850.0,171850.0,83700.0,48.7,88150.0,51.3,9278.0,5.4,10615.0,6.2,11372.0,6.6,11016.0,6.4,9038.0,5.3,14618.0,8.5,24365.0,14.2,29814.0,17.3,12714.0,7.4,11151.0,6.5,14407.0,8.4,9893.0,5.8,3569.0,2.1,43.3,133519.0,77.7,127796.0,74.4,34236.0,19.9,27869.0,16.2,133519.0,133519.0,64123.0,48.0,69396.0,52.0,27869.0,27869.0,12352.0,44.3,15517.0,55.7,171850.0,171850.0,169459.0,98.6,2391.0,1.4,169459.0,98.6,163550.0,95.2,2499.0,1.5,226.0,0.1,1837.0,1.1,292.0,0.2,478.0,0.3,129.0,0.1,45.0,0.0,264.0,0.2,368.0,0.2,261.0,0.2,1295.0,0.8,2391.0,1.4,628.0,0.4
25,23,161238.0,161238.0,77214.0,47.9,84024.0,52.1,9696.0,6.0,11718.0,7.3,11797.0,7.3,9413.0,5.8,6419.0,4.0,13745.0,8.5,23912.0,14.8,27644.0,17.1,11867.0,7.4,10116.0,6.3,12577.0,7.8,9111.0,5.7,3223.0,2.0,42.8,121423.0,75.3,117360.0,72.8,30653.0,19.0,24911.0,15.4,121423.0,121423.0,56519.0,46.5,64904.0,53.5,24911.0,24911.0,10259.0,41.2,14652.0,58.8,161238.0,161238.0,159850.0,99.1,1388.0,0.9,159850.0,99.1,153542.0,95.2,2487.0,1.5,268.0,0.2,2624.0,1.6,627.0,0.4,973.0,0.6,205.0,0.1,58.0,0.0,137.0,0.1,401.0,0.2,223.0,0.1,929.0,0.6,1388.0,0.9,375.0,0.2
