002 Bristol & Norfolk,"2,009",2.98,"2,723",4.03,"2,217",3.28,"2,405",3.56,"4,770",7.07,0,0,"1,135",1.68,"1,594",2.36,"1,311",1.94,"1,555",2.3,"3,837",5.68,0,0,"6,523",9.66,"7,977",11.82,"6,207",9.2,"7,028",10.41,"15,296",22.66,0,0,249,0.37,298,0.44,143,0.21,115,0.17,102,0.15,0,0,58,0.09,67,0.1,110,0.16,130,0.19,49,0.07,58,0.09,"10,621",15.74,420,0.62,"1,888",2.8,92,0.14,163,0.24,122,0.18,0,0,346,0.51,4,0.01,14,0.02,7,0.01,49,0.07,18,0.03,17,0.03,"7,923",11.74,139,0.21,928,1.37,27,0.04,39,0.06,36,0.05,0,0,231,0.34,30,0.04,47,0.07,55,0.08,333,0.49,93,0.14,125,0.19,"35,419",52.48,858,1.27,"4,545",6.73,127,0.19,204,0.3,144,0.21,0,0,"1,051",1.56,1,0,7,0.01,7,0.01,7,0.01,1,0,1,0,665,0.99,21,0.03,128,0.19,5,0.01,4,0.01,5,0.01,0,0,55,0.08,"5,770",8.55,"8,336",12.35,18,0.03,"5,433",8.05,"3,989",5.91,10,0.01,"20,724",30.7,"22,262",32.98,45,0.07,453,0.67,453,0.67,1,0,"67,494"
003 First Bristol & Plymouth,406,3.13,486,3.75,406,3.13,483,3.72,862,6.65,0,0,195,1.5,348,2.68,264,2.04,286,2.2,780,6.01,0,0,"1,273",9.81,"1,525",11.76,"1,282",9.88,"1,362",10.5,"2,821",21.75,0,0,62,0.48,63,0.49,29,0.22,23,0.18,16,0.12,0,0,2,0.02,5,0.04,5,0.04,15,0.12,2,0.02,8,0.06,"2,081",16.04,90,0.69,332,2.56,13,0.1,29,0.22,27,0.21,0,0,34,0.26,0,0,1,0.01,0,0,5,0.04,2,0.02,4,0.03,"1,594",12.29,46,0.35,167,1.29,0,0,8,0.06,7,0.05,0,0,39,0.3,2,0.02,5,0.04,1,0.01,17,0.13,7,0.05,12,0.09,"6,968",53.72,184,1.42,785,6.05,23,0.18,64,0.49,26,0.2,0,0,169,1.3,0,0,0,0,0,0,0,0,3,0.02,0,0,151,1.16,3,0.02,16,0.12,1,0.01,1,0.01,0,0,0,0,18,0.14,"1,098",8.46,"1,544",11.9,1,0.01,"1,052",8.11,821,6.33,0,0,"4,066",31.34,"4,196",32.35,1,0.01,91,0.7,102,0.79,0,0,"12,972"
005 Cape & Islands,"2,493",3.09,"3,349",4.15,"2,704",3.35,"3,168",3.93,"7,879",9.77,0,0,"1,386",1.72,"1,838",2.28,"1,475",1.83,"2,016",2.5,"5,712",7.08,0,0,"6,838",8.48,"7,797",9.66,"5,801",7.19,"7,351",9.11,"19,917",24.69,0,0,273,0.34,315,0.39,120,0.15,106,0.13,142,0.18,0,0,49,0.06,93,0.12,96,0.12,54,0.07,20,0.02,27,0.03,"15,338",19.01,503,0.62,"2,510",3.11,170,0.21,177,0.22,114,0.14,0,0,442,0.55,5,0.01,5,0.01,8,0.01,16,0.02,8,0.01,10,0.01,"10,700",13.26,146,0.18,"1,187",1.47,32,0.04,41,0.05,26,0.03,0,0,243,0.3,47,0.06,65,0.08,77,0.1,134,0.17,54,0.07,54,0.07,"39,774",49.3,850,1.05,"5,099",6.32,178,0.22,245,0.3,146,0.18,0,0,981,1.22,0,0,1,0,1,0,1,0,2,0,1,0,715,0.89,12,0.01,140,0.17,2,0,8,0.01,6,0.01,0,0,67,0.08,"7,534",9.34,"12,004",14.88,55,0.07,"6,580",8.16,"5,830",7.23,17,0.02,"22,301",27.64,"25,310",31.37,93,0.12,446,0.55,509,0.63,1,0,"80,680"
006 First Essex,"1,178",2.78,"1,940",4.57,"1,603",3.78,"1,840",4.34,"4,263",10.04,0,0,654,1.54,987,2.33,739,1.74,908,2.14,"2,274",5.36,0,0,"3,683",8.68,"4,802",11.31,"3,507",8.26,"4,103",9.67,"9,302",21.92,0,0,166,0.39,218,0.51,102,0.24,88,0.21,85,0.2,0,0,6,0.01,13,0.03,22,0.05,24,0.06,13,0.03,12,0.03,"9,194",21.66,148,0.35,"1,023",2.41,59,0.14,38,0.09,35,0.08,0,0,237,0.56,0,0,2,0,1,0,4,0.01,5,0.01,8,0.02,"4,929",11.61,39,0.09,411,0.97,7,0.02,11,0.03,6,0.01,0,0,139,0.33,6,0.01,18,0.04,14,0.03,75,0.18,18,0.04,30,0.07,"22,022",51.89,245,0.58,"2,169",5.11,60,0.14,67,0.16,51,0.12,0,0,622,1.47,1,0,0,0,0,0,1,0,0,0,0,0,528,1.24,7,0.02,69,0.16,2,0,1,0,2,0,0,0,48,0.11,"4,119",9.71,"6,675",15.73,30,0.07,"3,159",7.44,"2,393",5.64,10,0.02,"12,011",28.3,"13,304",31.35,82,0.19,277,0.65,380,0.9,2,0,"42,442"
007 Second Essex,77,1.59,133,2.74,109,2.25,171,3.52,402,8.28,0,0,63,1.3,92,1.89,90,1.85,164,3.38,478,9.85,0,0,289,5.95,433,8.92,371,7.64,505,10.4,"1,437",29.6,0,0,12,0.25,10,0.21,5,0.1,12,0.25,2,0.04,0,0,0,0,1,0.02,0,0,3,0.06,1,0.02,2,0.04,758,15.61,15,0.31,93,1.92,3,0.06,0,0,3,0.06,0,0,13,0.27,0,0,2,0.04,0,0,2,0.04,2,0.04,2,0.04,790,16.27,10,0.21,62,1.28,0,0,2,0.04,0,0,0,0,15,0.31,1,0.02,3,0.06,1,0.02,10,0.21,1,0.02,9,0.19,"2,640",54.38,42,0.87,271,5.58,1,0.02,7,0.14,3,0.06,0,0,46,0.95,0,0,0,0,0,0,0,0,0,0,2,0.04,29,0.6,0,0,6,0.12,0,0,0,0,0,0,0,0,4,0.08,319,6.57,568,11.7,5,0.1,485,9.99,400,8.24,2,0.04,"1,477",30.42,"1,549",31.91,9,0.19,15,0.31,26,0.54,0,0,"4,855"
008 Third Essex,888,3.06,"1,229",4.24,"1,049",3.61,"1,317",4.54,"3,203",11.04,0,0,379,1.31,626,2.16,480,1.65,664,2.29,"1,577",5.43,0,0,"2,248",7.75,"3,056",10.53,"2,249",7.75,"2,801",9.65,"6,879",23.71,0,0,109,0.38,96,0.33,57,0.2,52,0.18,59,0.2,0,0,25,0.09,46,0.16,43,0.15,91,0.31,28,0.1,28,0.1,"5,898",20.33,214,0.74,922,3.18,129,0.44,75,0.26,80,0.28,0,0,107,0.37,2,0.01,2,0.01,0,0,24,0.08,15,0.05,8,0.03,"3,103",10.69,66,0.23,394,1.36,21,0.07,23,0.08,13,0.04,0,0,55,0.19,20,0.07,29,0.1,24,0.08,228,0.79,53,0.18,84,0.29,"13,872",47.8,324,1.12,"1,977",6.81,113,0.39,92,0.32,62,0.21,0,0,355,1.22,0,0,1,0,2,0.01,4,0.01,1,0,1,0,280,0.96,9,0.03,49,0.17,2,0.01,4,0.01,1,0,0,0,19,0.07,"3,233",11.14,"4,429",15.26,24,0.08,"2,066",7.12,"1,653",5.7,7,0.02,"8,188",28.22,"8,988",30.97,57,0.2,170,0.59,202,0.7,1,0,"29,018"
009 First Essex & Middlesex,"2,943",2.29,"4,722",3.68,"4,086",3.18,"5,143",4,"11,819",9.2,0,0,"1,758",1.37,"2,855",2.22,"2,368",1.84,"3,510",2.73,"8,367",6.51,0,0,"9,579",7.46,"13,563",10.56,"10,915",8.5,"13,912",10.83,"31,613",24.61,0,0,364,0.28,419,0.33,201,0.16,181,0.14,159,0.12,0,0,30,0.02,60,0.05,55,0.04,253,0.2,77,0.06,87,0.07,"23,634",18.4,489,0.38,"3,043",2.37,153,0.12,156,0.12,106,0.08,0,0,570,0.44,1,0,10,0.01,8,0.01,76,0.06,25,0.02,49,0.04,"16,292",12.68,198,0.15,"1,758",1.37,52,0.04,48,0.04,30,0.02,0,0,311,0.24,20,0.02,54,0.04,52,0.04,663,0.52,181,0.14,269,0.21,"67,631",52.64,982,0.76,"7,686",5.98,185,0.14,231,0.18,148,0.12,1,0,"1,479",1.15,0,0,2,0,0,0,3,0,2,0,0,0,994,0.77,27,0.02,207,0.16,9,0.01,2,0,4,0,0,0,74,0.06,"11,475",8.93,"17,114",13.32,124,0.1,"10,627",8.27,"8,188",6.37,43,0.03,"38,067",29.63,"41,252",32.11,263,0.2,662,0.52,652,0.51,10,0.01,"128,477"
010 Second Essex & Middlesex,575,2.65,892,4.11,753,3.47,905,4.17,"2,032",9.37,0,0,328,1.51,463,2.14,403,1.86,526,2.43,"1,447",6.67,0,0,"1,797",8.29,"2,445",11.28,"1,913",8.82,"2,022",9.33,"5,029",23.2,0,0,33,0.15,53,0.24,27,0.12,19,0.09,18,0.08,0,0,6,0.03,20,0.09,23,0.11,206,0.95,32,0.15,76,0.35,"3,552",16.38,135,0.62,782,3.61,73,0.34,68,0.31,54,0.25,0,0,130,0.6,1,0,1,0,4,0.02,57,0.26,14,0.06,38,0.18,"2,485",11.46,42,0.19,426,1.96,13,0.06,17,0.08,4,0.02,0,0,65,0.3,11,0.05,29,0.13,9,0.04,644,2.97,95,0.44,217,1,"9,347",43.11,284,1.31,"2,038",9.4,82,0.38,69,0.32,48,0.22,0,0,333,1.54,0,0,0,0,0,0,1,0,0,0,0,0,99,0.46,5,0.02,37,0.17,2,0.01,1,0,0,0,0,0,5,0.02,"2,044",9.43,"3,100",14.3,13,0.06,"1,795",8.28,"1,368",6.31,4,0.02,"6,492",29.94,"6,674",30.78,40,0.18,82,0.38,68,0.31,0,0,"21,680"
013 Second Hampden & Hampshire,"5,703",5.36,"5,704",5.36,"4,814",4.52,"5,451",5.12,"10,576",9.93,0,0,"2,351",2.21,"2,500",2.35,"1,896",1.78,"2,356",2.21,"5,358",5.03,0,0,"12,382",11.63,"11,492",10.79,"7,822",7.35,"9,086",8.53,"17,266",16.21,0,0,532,0.5,533,0.5,270,0.25,216,0.2,183,0.17,0,0,94,0.09,176,0.17,189,0.18,141,0.13,53,0.05,62,0.06,"19,116",17.95,915,0.86,"3,859",3.62,"4,676",4.39,774,0.73,"1,488",1.4,0,0,705,0.66,3,0,6,0.01,13,0.01,35,0.03,6,0.01,14,0.01,"11,275",10.59,227,0.21,"1,570",1.47,642,0.6,141,0.13,194,0.18,0,0,335,0.31,75,0.07,138,0.13,127,0.12,215,0.2,61,0.06,80,0.08,"41,411",38.89,"1,279",1.2,"6,344",5.96,"4,316",4.05,871,0.82,"1,524",1.43,0,0,"1,607",1.51,0,0,5,0,8,0.01,5,0,1,0,0,0,"1,144",1.07,52,0.05,259,0.24,94,0.09,28,0.03,34,0.03,0,0,104,0.1,"13,141",12.34,"19,079",17.92,28,0.03,"8,101",7.61,"6,343",5.96,17,0.02,"27,675",25.99,"30,323",28.47,50,0.05,826,0.78,905,0.85,3,0,"106,491"
015 First Middlesex,326,1.74,610,3.26,560,3,682,3.65,"1,528",8.18,0,0,272,1.46,461,2.47,392,2.1,557,2.98,"1,382",7.4,0,0,"1,356",7.26,"2,145",11.48,"1,703",9.11,"1,971",10.55,"4,523",24.2,0,0,46,0.25,76,0.41,33,0.18,39,0.21,25,0.13,0,0,0,0,7,0.04,5,0.03,37,0.2,16,0.09,24,0.13,"3,063",16.39,59,0.32,378,2.02,17,0.09,18,0.1,11,0.06,0,0,71,0.38,0,0,3,0.02,0,0,5,0.03,2,0.01,7,0.04,"2,688",14.38,27,0.14,248,1.33,5,0.03,9,0.05,2,0.01,0,0,68,0.36,3,0.02,8,0.04,8,0.04,95,0.51,36,0.19,53,0.28,"9,972",53.36,154,0.82,"1,042",5.58,23,0.12,32,0.17,18,0.1,0,0,254,1.36,0,0,0,0,0,0,0,0,1,0.01,0,0,179,0.96,6,0.03,25,0.13,0,0,0,0,0,0,0,0,8,0.04,"1,467",7.85,"2,232",11.94,7,0.04,"1,754",9.39,"1,308",7,2,0.01,"5,738",30.71,"5,944",31.81,16,0.09,103,0.55,116,0.62,0,0,"18,687"
018 Fourth Middlesex,891,3.15,"1,315",4.64,"1,075",3.79,"1,229",4.34,"2,643",9.33,0,0,364,1.28,636,2.25,466,1.65,556,1.96,"1,328",4.69,0,0,"2,550",9,"3,505",12.37,"2,532",8.94,"2,674",9.44,"6,191",21.85,0,0,104,0.37,128,0.45,59,0.21,42,0.15,40,0.14,0,0,32,0.11,35,0.12,36,0.13,181,0.64,33,0.12,41,0.14,"5,366",18.94,187,0.66,958,3.38,51,0.18,74,0.26,35,0.12,0,0,124,0.44,1,0,1,0,1,0,27,0.1,10,0.04,14,0.05,"2,736",9.66,70,0.25,395,1.39,13,0.05,11,0.04,11,0.04,0,0,60,0.21,3,0.01,26,0.09,22,0.08,360,1.27,68,0.24,87,0.31,"13,532",47.77,391,1.38,"2,307",8.14,68,0.24,103,0.36,53,0.19,0,0,432,1.52,0,0,1,0,1,0,6,0.02,1,0,0,0,264,0.93,8,0.03,55,0.19,3,0.01,3,0.01,1,0,0,0,30,0.11,"3,029",10.69,"4,122",14.55,2,0.01,"1,949",6.88,"1,399",4.94,2,0.01,"8,564",30.23,"8,886",31.37,2,0.01,202,0.71,170,0.6,1,0,"28,328"
019 Fifth Middlesex,408,2.06,806,4.08,733,3.71,970,4.9,"2,470",12.49,0,0,232,1.17,384,1.94,302,1.53,468,2.37,"1,235",6.24,0,0,"1,214",6.14,"2,010",10.16,"1,567",7.92,"1,980",10.01,"4,764",24.09,0,0,45,0.23,73,0.37,40,0.2,37,0.19,41,0.21,0,0,5,0.03,18,0.09,10,0.05,51,0.26,21,0.11,19,0.1,"4,436",22.43,98,0.5,593,3,30,0.15,27,0.14,19,0.1,0,0,60,0.3,0,0,1,0.01,0,0,11,0.06,6,0.03,5,0.03,"2,285",11.55,25,0.13,227,1.15,11,0.06,5,0.03,4,0.02,0,0,41,0.21,4,0.02,11,0.06,10,0.05,125,0.63,45,0.23,76,0.38,"9,725",49.17,163,0.82,"1,111",5.62,30,0.15,36,0.18,23,0.12,0,0,176,0.89,0,0,0,0,0,0,0,0,1,0.01,0,0,191,0.97,6,0.03,27,0.14,0,0,5,0.03,0,0,0,0,6,0.03,"2,174",10.99,"3,213",16.24,0,0,"1,531",7.74,"1,090",5.51,0,0,"5,517",27.89,"6,013",30.4,5,0.03,117,0.59,119,0.6,0,0,"19,779"
023 Middlesex & Worcester,260,3.02,418,4.86,332,3.86,338,3.93,810,9.41,0,0,116,1.35,182,2.12,176,2.05,217,2.52,571,6.64,0,0,812,9.44,"1,005",11.68,657,7.64,800,9.3,"1,804",20.97,0,0,27,0.31,29,0.34,17,0.2,17,0.2,16,0.19,0,0,6,0.07,14,0.16,13,0.15,98,1.14,14,0.16,30,0.35,"1,394",16.2,61,0.71,375,4.36,31,0.36,30,0.35,18,0.21,0,0,74,0.86,0,0,1,0.01,1,0.01,11,0.13,2,0.02,8,0.09,965,11.22,19,0.22,216,2.51,4,0.05,5,0.06,5,0.06,0,0,25,0.29,7,0.08,18,0.21,18,0.21,221,2.57,38,0.44,80,0.93,"3,383",39.32,135,1.57,909,10.56,35,0.41,37,0.43,24,0.28,0,0,173,2.01,0,0,0,0,2,0.02,1,0.01,0,0,0,0,72,0.84,4,0.05,24,0.28,0,0,1,0.01,0,0,0,0,2,0.02,880,10.23,"1,268",14.74,10,0.12,735,8.54,526,6.11,1,0.01,"2,524",29.34,"2,520",29.29,34,0.4,55,0.64,51,0.59,0,0,"8,604"
