001 First Barnstable District,965,2.83,"1,364",4.01,"1,130",3.32,"1,359",3.99,"3,624",10.64,0,0,537,1.58,722,2.12,566,1.66,816,2.4,"2,487",7.3,0,0,"2,687",7.89,"3,108",9.13,"2,350",6.9,"3,037",8.92,"8,887",26.1,0,0,107,0.31,124,0.36,58,0.17,50,0.15,73,0.21,0,0,15,0.04,27,0.08,32,0.09,20,0.06,2,0.01,10,0.03,"6,997",20.55,169,0.5,852,2.5,44,0.13,42,0.12,39,0.11,0,0,193,0.57,0,0,3,0.01,1,0,8,0.02,2,0.01,5,0.01,"4,496",13.2,47,0.14,428,1.26,7,0.02,14,0.04,12,0.04,0,0,105,0.31,13,0.04,17,0.05,19,0.06,46,0.14,16,0.05,11,0.03,"17,360",50.98,278,0.82,"1,775",5.21,52,0.15,69,0.2,38,0.11,0,0,375,1.1,0,0,0,0,0,0,0,0,2,0.01,1,0,315,0.93,5,0.01,51,0.15,0,0,1,0,1,0,0,0,36,0.11,"3,198",9.39,"5,229",15.36,15,0.04,"2,645",7.77,"2,475",7.27,8,0.02,"9,305",27.33,"10,742",31.55,22,0.06,185,0.54,226,0.66,1,0,"34,051"
002 Second Barnstable District,"1,174",3.91,"1,389",4.63,"1,082",3.6,"1,166",3.88,"2,633",8.77,0,0,607,2.02,711,2.37,572,1.9,772,2.57,"1,984",6.61,0,0,"2,946",9.81,"3,104",10.34,"2,148",7.15,"2,619",8.72,"6,800",22.64,0,0,110,0.37,109,0.36,37,0.12,33,0.11,34,0.11,0,0,31,0.1,49,0.16,52,0.17,21,0.07,13,0.04,13,0.04,"5,371",17.89,242,0.81,"1,196",3.98,109,0.36,111,0.37,66,0.22,0,0,170,0.57,5,0.02,0,0,6,0.02,7,0.02,4,0.01,4,0.01,"3,886",12.94,73,0.24,522,1.74,17,0.06,18,0.06,10,0.03,0,0,94,0.31,24,0.08,32,0.11,46,0.15,72,0.24,24,0.08,33,0.11,"13,862",46.16,434,1.45,"2,318",7.72,107,0.36,146,0.49,87,0.29,0,0,432,1.44,0,0,0,0,1,0,1,0,0,0,0,0,228,0.76,4,0.01,58,0.19,2,0.01,5,0.02,4,0.01,0,0,20,0.07,"2,909",9.69,"4,501",14.99,34,0.11,"2,463",8.2,"2,174",7.24,9,0.03,"8,356",27.83,"9,199",30.63,62,0.21,167,0.56,156,0.52,0,0,"30,030"
003 Third Barnstable District,847,2.68,"1,161",3.68,992,3.14,"1,282",4.06,"3,244",10.27,0,0,461,1.46,698,2.21,548,1.73,778,2.46,"2,062",6.53,0,0,"2,655",8.41,"3,041",9.63,"2,404",7.61,"3,096",9.8,"7,954",25.18,0,0,128,0.41,110,0.35,45,0.14,27,0.09,53,0.17,0,0,11,0.03,37,0.12,28,0.09,25,0.08,8,0.03,7,0.02,"6,037",19.11,216,0.68,903,2.86,25,0.08,43,0.14,22,0.07,0,0,164,0.52,0,0,4,0.01,3,0.01,9,0.03,6,0.02,8,0.03,"3,950",12.51,54,0.17,402,1.27,11,0.03,11,0.03,10,0.03,0,0,79,0.25,12,0.04,32,0.1,24,0.08,44,0.14,18,0.06,20,0.06,"16,180",51.23,306,0.97,"1,938",6.14,40,0.13,71,0.22,46,0.15,0,0,419,1.33,0,0,1,0,0,0,1,0,0,0,0,0,269,0.85,4,0.01,52,0.16,0,0,1,0,1,0,0,0,34,0.11,"2,965",9.39,"4,558",14.43,3,0.01,"2,472",7.83,"2,075",6.57,0,0,"8,895",28.16,"10,250",32.45,5,0.02,152,0.48,210,0.66,1,0,"31,586"
005 Fifth Barnstable,629,2.08,989,3.27,800,2.65,"1,112",3.68,"2,558",8.47,0,0,540,1.79,787,2.6,632,2.09,945,3.13,"2,300",7.61,0,0,"2,449",8.1,"3,125",10.34,"2,347",7.77,"3,048",10.09,"7,547",24.98,0,0,106,0.35,126,0.42,61,0.2,62,0.21,53,0.18,0,0,0,0,17,0.06,9,0.03,24,0.08,14,0.05,16,0.05,"5,160",17.08,115,0.38,558,1.85,15,0.05,30,0.1,25,0.08,0,0,105,0.35,0,0,1,0,3,0.01,1,0,4,0.01,1,0,"4,640",15.36,39,0.13,389,1.29,4,0.01,8,0.03,8,0.03,0,0,106,0.35,4,0.01,17,0.06,4,0.01,58,0.19,13,0.04,31,0.1,"16,305",53.96,197,0.65,"1,404",4.65,36,0.12,48,0.16,32,0.11,0,0,367,1.21,0,0,2,0.01,0,0,0,0,0,0,0,0,336,1.11,8,0.03,42,0.14,2,0.01,2,0.01,1,0,0,0,15,0.05,"2,415",7.99,"3,658",12.11,15,0.05,"2,932",9.7,"2,268",7.51,4,0.01,"8,791",29.09,"9,696",32.09,29,0.1,195,0.65,212,0.7,1,0,"30,216"
"006 Barnstable, Dukes & Nantucket District",320,2.83,500,4.43,418,3.7,525,4.65,"1,692",14.97,0,0,107,0.95,173,1.53,177,1.57,218,1.93,654,5.79,0,0,704,6.23,905,8.01,757,6.7,995,8.81,"3,065",27.13,0,0,25,0.22,29,0.26,9,0.08,14,0.12,12,0.11,0,0,1,0.01,5,0.04,13,0.12,12,0.11,6,0.05,7,0.06,"2,871",25.41,48,0.42,366,3.24,7,0.06,14,0.12,10,0.09,0,0,95,0.84,0,0,1,0.01,1,0.01,1,0.01,0,0,3,0.03,"1,152",10.2,12,0.11,126,1.12,2,0.02,2,0.02,0,0,0,0,29,0.26,2,0.02,9,0.08,6,0.05,15,0.13,2,0.02,9,0.08,"5,514",48.8,78,0.69,611,5.41,9,0.08,28,0.25,10,0.09,0,0,133,1.18,1,0.01,1,0.01,0,0,2,0.02,0,0,0,0,61,0.54,0,0,15,0.13,0,0,0,0,0,0,0,0,9,0.08,"1,367",12.1,"2,087",18.47,1,0.01,684,6.05,645,5.71,0,0,"2,987",26.44,"3,438",30.43,1,0.01,42,0.37,47,0.42,0,0,"11,299"
010 Fourth Berkshire District,45,2.99,45,2.99,33,2.19,47,3.13,87,5.78,0,0,37,2.46,54,3.59,39,2.59,60,3.99,118,7.85,0,0,136,9.04,193,12.83,133,8.84,178,11.84,277,18.42,0,0,6,0.4,6,0.4,5,0.33,3,0.2,2,0.13,0,0,0,0,2,0.13,0,0,0,0,0,0,0,0,215,14.3,4,0.27,23,1.53,4,0.27,1,0.07,3,0.2,0,0,5,0.33,0,0,0,0,0,0,0,0,0,0,1,0.07,263,17.49,4,0.27,31,2.06,1,0.07,1,0.07,0,0,0,0,7,0.47,0,0,0,0,0,0,1,0.07,0,0,0,0,834,55.45,11,0.73,54,3.59,2,0.13,0,0,2,0.13,0,0,13,0.86,0,0,1,0.07,0,0,0,0,0,0,0,0,17,1.13,0,0,2,0.13,0,0,0,0,0,0,0,0,2,0.13,106,7.05,150,9.97,1,0.07,167,11.1,141,9.38,0,0,445,29.59,466,30.98,6,0.4,8,0.53,13,0.86,1,0.07,"1,504"
011 First Bristol District,823,2.89,"1,181",4.15,951,3.34,"1,094",3.84,"2,365",8.31,0,0,431,1.51,569,2,501,1.76,648,2.28,"1,679",5.9,0,0,"2,628",9.23,"3,281",11.53,"2,513",8.83,"2,894",10.17,"6,569",23.08,0,0,93,0.33,100,0.35,53,0.19,49,0.17,45,0.16,0,0,41,0.14,40,0.14,78,0.27,61,0.21,23,0.08,26,0.09,"4,916",17.27,145,0.51,824,2.89,31,0.11,55,0.19,39,0.14,0,0,135,0.47,1,0,5,0.02,3,0.01,26,0.09,8,0.03,9,0.03,"3,238",11.37,42,0.15,381,1.34,11,0.04,10,0.04,10,0.04,0,0,84,0.3,22,0.08,30,0.11,27,0.09,159,0.56,48,0.17,50,0.18,"14,752",51.82,296,1.04,"1,919",6.74,70,0.25,71,0.25,51,0.18,0,0,390,1.37,0,0,2,0.01,3,0.01,1,0,0,0,0,0,254,0.89,9,0.03,47,0.17,2,0.01,2,0.01,1,0,0,0,19,0.07,"2,618",9.2,"3,785",13.3,11,0.04,"2,218",7.79,"1,607",5.65,3,0.01,"8,624",30.29,"9,235",32.44,26,0.09,182,0.64,157,0.55,1,0,"28,467"
012 Second Bristol District,470,3.91,568,4.73,479,3.99,438,3.65,791,6.59,0,0,205,1.71,281,2.34,237,1.97,263,2.19,560,4.66,0,0,"1,409",11.73,"1,505",12.53,"1,126",9.38,"1,211",10.08,"2,265",18.86,0,0,54,0.45,53,0.44,46,0.38,25,0.21,24,0.2,0,0,18,0.15,25,0.21,36,0.3,43,0.36,18,0.15,14,0.12,"1,724",14.35,136,1.13,496,4.13,57,0.47,59,0.49,34,0.28,0,0,86,0.72,2,0.02,1,0.01,5,0.04,19,0.16,2,0.02,5,0.04,"1,180",9.83,33,0.27,226,1.88,11,0.09,13,0.11,7,0.06,0,0,42,0.35,14,0.12,16,0.13,20,0.17,86,0.72,21,0.17,32,0.27,"5,603",46.65,193,1.61,"1,097",9.13,63,0.52,89,0.74,67,0.56,0,0,215,1.79,2,0.02,0,0,1,0.01,0,0,0,0,0,0,131,1.09,7,0.06,40,0.33,1,0.01,3,0.02,3,0.02,0,0,14,0.12,"1,130",9.41,"1,615",13.45,1,0.01,887,7.39,658,5.48,1,0.01,"3,561",29.65,"3,952",32.91,3,0.02,107,0.89,95,0.79,0,0,"12,010"
013 Third Bristol District,"1,559",5.79,"1,557",5.79,"1,256",4.67,"1,260",4.68,"2,477",9.2,0,0,490,1.82,531,1.97,360,1.34,423,1.57,852,3.17,0,0,"3,282",12.19,"3,134",11.64,"2,231",8.29,"2,380",8.84,"4,728",17.57,0,0,126,0.47,137,0.51,61,0.23,43,0.16,26,0.1,0,0,89,0.33,96,0.36,168,0.62,26,0.1,9,0.03,9,0.03,"4,514",16.77,592,2.2,"1,622",6.03,247,0.92,323,1.2,247,0.92,0,0,167,0.62,1,0,6,0.02,6,0.02,5,0.02,3,0.01,4,0.01,"1,934",7.19,84,0.31,449,1.67,42,0.16,40,0.15,14,0.05,0,0,68,0.25,39,0.14,73,0.27,67,0.25,53,0.2,26,0.1,19,0.07,"10,855",40.33,734,2.73,"2,791",10.37,209,0.78,304,1.13,178,0.66,0,0,407,1.51,3,0.01,4,0.01,5,0.02,0,0,0,0,2,0.01,231,0.86,25,0.09,80,0.3,8,0.03,10,0.04,3,0.01,0,0,22,0.08,"3,409",12.67,"4,644",17.26,56,0.21,"1,542",5.73,"1,109",4.12,5,0.02,"7,465",27.74,"8,210",30.51,80,0.3,169,0.63,223,0.83,1,0,"26,913"
014 Fourth Bristol District,"1,083",3.65,"1,250",4.21,"1,013",3.41,"1,012",3.41,"1,640",5.52,0,0,551,1.86,804,2.71,623,2.1,624,2.1,"1,433",4.82,0,0,"3,269",11.01,"3,722",12.53,"3,014",10.15,"3,156",10.63,"6,065",20.42,0,0,140,0.47,150,0.51,68,0.23,44,0.15,41,0.14,0,0,8,0.03,12,0.04,14,0.05,47,0.16,16,0.05,18,0.06,"4,379",14.74,255,0.86,850,2.86,39,0.13,110,0.37,78,0.26,0,0,172,0.58,0,0,7,0.02,2,0.01,10,0.03,5,0.02,3,0.01,"3,303",11.12,97,0.33,422,1.42,14,0.05,31,0.1,22,0.07,0,0,119,0.4,3,0.01,7,0.02,10,0.03,86,0.29,26,0.09,27,0.09,"15,717",52.92,518,1.74,"2,036",6.85,48,0.16,141,0.47,90,0.3,0,0,517,1.74,0,0,4,0.01,2,0.01,4,0.01,2,0.01,0,0,314,1.06,11,0.04,60,0.2,2,0.01,3,0.01,4,0.01,0,0,37,0.12,"2,450",8.25,"3,543",11.93,5,0.02,"2,281",7.68,"1,751",5.9,3,0.01,"9,319",31.37,"9,902",33.34,5,0.02,220,0.74,223,0.75,0,0,"29,702"
022 Twelfth Bristol District,"1,042",3.66,"1,153",4.06,898,3.16,"1,090",3.83,"1,761",6.19,0,0,505,1.78,693,2.44,488,1.72,629,2.21,"1,428",5.02,0,0,"3,473",12.21,"3,431",12.07,"2,674",9.4,"3,070",10.8,"5,638",19.83,0,0,155,0.55,129,0.45,72,0.25,63,0.22,42,0.15,0,0,24,0.08,41,0.14,52,0.18,32,0.11,10,0.04,14,0.05,"4,342",15.27,282,0.99,837,2.94,51,0.18,104,0.37,65,0.23,0,0,90,0.32,0,0,2,0.01,1,0,13,0.05,3,0.01,8,0.03,"3,179",11.18,76,0.27,348,1.22,9,0.03,14,0.05,16,0.06,0,0,74,0.26,17,0.06,35,0.12,20,0.07,53,0.19,21,0.07,30,0.11,"14,976",52.67,447,1.57,"2,012",7.08,69,0.24,143,0.5,72,0.25,0,0,391,1.38,0,0,0,0,2,0.01,0,0,2,0.01,0,0,352,1.24,11,0.04,63,0.22,3,0.01,4,0.01,0,0,0,0,24,0.08,"2,462",8.66,"3,466",12.19,16,0.06,"2,209",7.77,"1,525",5.36,9,0.03,"8,757",30.8,"9,504",33.42,25,0.09,223,0.78,236,0.83,2,0.01,"28,434"
024 Fourteenth Bristol District,776,2.85,"1,105",4.06,939,3.45,972,3.57,"1,785",6.56,0,0,465,1.71,726,2.67,567,2.08,741,2.72,"1,728",6.35,0,0,"2,702",9.93,"3,445",12.66,"2,561",9.41,"2,795",10.27,"5,577",20.49,0,0,89,0.33,119,0.44,47,0.17,48,0.18,34,0.12,0,0,25,0.09,33,0.12,39,0.14,71,0.26,16,0.06,27,0.1,"4,190",15.39,164,0.6,694,2.55,71,0.26,53,0.19,41,0.15,0,0,153,0.56,4,0.01,5,0.02,5,0.02,23,0.08,9,0.03,4,0.01,"3,556",13.06,53,0.19,434,1.59,15,0.06,15,0.06,11,0.04,0,0,93,0.34,8,0.03,18,0.07,30,0.11,213,0.78,46,0.17,66,0.24,"13,863",50.93,325,1.19,"1,907",7.01,62,0.23,73,0.27,42,0.15,0,0,427,1.57,1,0,1,0,2,0.01,4,0.01,0,0,0,0,233,0.86,8,0.03,55,0.2,2,0.01,4,0.01,0,0,0,0,27,0.1,"2,267",8.33,"3,297",12.11,13,0.05,"2,450",9,"1,772",6.51,5,0.02,"8,108",29.79,"8,931",32.81,41,0.15,170,0.62,166,0.61,1,0,"27,221"
025 First Essex District,970,2.93,"1,603",4.84,"1,320",3.98,"1,488",4.49,"3,524",10.63,0,0,503,1.52,794,2.4,572,1.73,672,2.03,"1,719",5.19,0,0,"2,840",8.57,"3,745",11.3,"2,673",8.07,"3,075",9.28,"7,123",21.49,0,0,129,0.39,164,0.49,82,0.25,71,0.21,72,0.22,0,0,5,0.02,9,0.03,18,0.05,19,0.06,7,0.02,11,0.03,"7,587",22.89,112,0.34,844,2.55,37,0.11,26,0.08,25,0.08,0,0,205,0.62,0,0,2,0.01,1,0,4,0.01,4,0.01,6,0.02,"3,779",11.4,27,0.08,305,0.92,6,0.02,9,0.03,4,0.01,0,0,113,0.34,5,0.02,13,0.04,12,0.04,62,0.19,14,0.04,27,0.08,"16,910",51.03,178,0.54,"1,653",4.99,36,0.11,46,0.14,39,0.12,0,0,461,1.39,1,0,0,0,0,0,1,0,0,0,0,0,425,1.28,3,0.01,52,0.16,1,0,1,0,2,0.01,0,0,32,0.1,"3,374",10.18,"5,518",16.65,13,0.04,"2,411",7.28,"1,842",5.56,7,0.02,"9,223",27.83,"10,182",30.73,51,0.15,217,0.65,301,0.91,0,0,"33,139"
026 Second Essex District,614,1.84,"1,078",3.23,975,2.92,"1,214",3.64,"2,863",8.58,0,0,470,1.41,739,2.21,667,2,999,2.99,"2,553",7.65,0,0,"2,390",7.16,"3,521",10.55,"2,841",8.51,"3,755",11.25,"8,290",24.84,0,0,109,0.33,145,0.43,51,0.15,49,0.15,45,0.13,0,0,1,0,5,0.01,7,0.02,20,0.06,12,0.04,9,0.03,"5,795",17.37,86,0.26,598,1.79,38,0.11,32,0.1,20,0.06,0,0,121,0.36,0,0,0,0,2,0.01,2,0.01,4,0.01,14,0.04,"4,855",14.55,42,0.13,403,1.21,12,0.04,5,0.01,6,0.02,0,0,83,0.25,2,0.01,12,0.04,2,0.01,58,0.17,14,0.04,32,0.1,"18,327",54.92,184,0.55,"1,623",4.86,35,0.1,49,0.15,39,0.12,0,0,420,1.26,0,0,0,0,0,0,0,0,0,0,0,0,305,0.91,8,0.02,55,0.16,3,0.01,0,0,0,0,0,0,28,0.08,"2,672",8.01,"4,038",12.1,34,0.1,"3,024",9.06,"2,388",7.16,16,0.05,"9,993",29.95,"10,736",32.17,68,0.2,180,0.54,215,0.64,4,0.01,"33,368"
028 Fourth Essex District,651,1.94,"1,162",3.47,886,2.65,"1,247",3.72,"2,931",8.75,0,0,513,1.53,789,2.36,637,1.9,978,2.92,"2,648",7.91,0,0,"2,361",7.05,"3,317",9.9,"2,704",8.07,"3,444",10.28,"8,898",26.57,0,0,96,0.29,97,0.29,52,0.16,47,0.14,33,0.1,0,0,3,0.01,13,0.04,11,0.03,30,0.09,16,0.05,13,0.04,"5,829",17.4,92,0.27,667,1.99,21,0.06,22,0.07,11,0.03,0,0,149,0.44,0,0,5,0.01,2,0.01,13,0.04,10,0.03,11,0.03,"4,872",14.55,64,0.19,493,1.47,9,0.03,6,0.02,4,0.01,0,0,76,0.23,3,0.01,12,0.04,11,0.03,96,0.29,41,0.12,55,0.16,"18,001",53.75,221,0.66,"1,831",5.47,28,0.08,36,0.11,24,0.07,0,0,365,1.09,0,0,1,0,0,0,1,0,0,0,2,0.01,240,0.72,6,0.02,41,0.12,2,0.01,1,0,2,0.01,0,0,29,0.09,"2,650",7.91,"4,209",12.57,18,0.05,"3,061",9.14,"2,493",7.44,11,0.03,"9,891",29.53,"10,798",32.24,35,0.1,162,0.48,161,0.48,2,0.01,"33,491"
029 Fifth Essex District,867,2.91,"1,307",4.39,"1,121",3.76,"1,370",4.6,"3,306",11.1,0,0,305,1.02,497,1.67,383,1.29,541,1.82,"1,260",4.23,0,0,"2,410",8.09,"3,132",10.52,"2,540",8.53,"3,103",10.42,"7,260",24.38,0,0,99,0.33,121,0.41,52,0.17,57,0.19,50,0.17,0,0,9,0.03,21,0.07,15,0.05,10,0.03,7,0.02,6,0.02,"6,613",22.21,140,0.47,890,2.99,37,0.12,31,0.1,43,0.14,0,0,149,0.5,0,0,3,0.01,2,0.01,4,0.01,0,0,3,0.01,"2,613",8.77,37,0.12,251,0.84,10,0.03,6,0.02,6,0.02,0,0,51,0.17,4,0.01,12,0.04,9,0.03,35,0.12,24,0.08,21,0.07,"15,837",53.18,251,0.84,"1,770",5.94,55,0.18,50,0.17,37,0.12,0,0,340,1.14,0,0,1,0,0,0,0,0,2,0.01,0,0,284,0.95,8,0.03,61,0.2,3,0.01,1,0,0,0,0,0,19,0.06,"3,136",10.53,"4,784",16.06,51,0.17,"1,716",5.76,"1,260",4.23,10,0.03,"8,644",29.03,"9,698",32.56,103,0.35,200,0.67,176,0.59,3,0.01,"29,781"
033 Ninth Essex District,947,3.11,"1,437",4.72,"1,220",4.01,"1,562",5.13,"3,618",11.88,0,0,377,1.24,586,1.92,427,1.4,585,1.92,"1,309",4.3,0,0,"2,353",7.73,"3,262",10.71,"2,374",7.8,"2,943",9.66,"7,042",23.12,0,0,113,0.37,118,0.39,61,0.2,60,0.2,59,0.19,0,0,29,0.1,59,0.19,48,0.16,76,0.25,29,0.1,24,0.08,"6,774",22.24,247,0.81,"1,071",3.52,137,0.45,85,0.28,86,0.28,0,0,119,0.39,2,0.01,3,0.01,0,0,22,0.07,10,0.03,5,0.02,"2,701",8.87,51,0.17,368,1.21,29,0.1,21,0.07,12,0.04,0,0,60,0.2,21,0.07,29,0.1,29,0.1,201,0.66,53,0.17,82,0.27,"14,514",47.66,339,1.11,"2,050",6.73,128,0.42,91,0.3,68,0.22,0,0,369,1.21,0,0,1,0,2,0.01,1,0,1,0,0,0,310,1.02,14,0.05,55,0.18,2,0.01,6,0.02,1,0,0,0,18,0.06,"3,676",12.07,"5,092",16.72,16,0.05,"1,840",6.04,"1,442",4.74,2,0.01,"8,512",27.95,"9,419",30.93,43,0.14,194,0.64,216,0.71,1,0,"30,453"
037 Thirteenth Essex District,60,1.84,86,2.63,87,2.67,139,4.26,235,7.2,0,0,65,1.99,84,2.57,79,2.42,79,2.42,203,6.22,0,0,280,8.58,327,10.02,291,8.92,363,11.12,851,26.07,0,0,7,0.21,13,0.4,8,0.25,3,0.09,4,0.12,0,0,2,0.06,2,0.06,2,0.06,15,0.46,1,0.03,4,0.12,423,12.96,12,0.37,119,3.65,6,0.18,9,0.28,3,0.09,0,0,9,0.28,0,0,2,0.06,1,0.03,1,0.03,0,0,0,0,389,11.92,8,0.25,84,2.57,3,0.09,6,0.18,3,0.09,0,0,13,0.4,0,0,0,0,2,0.06,24,0.74,4,0.12,9,0.28,"1,624",49.75,37,1.13,346,10.6,3,0.09,12,0.37,5,0.15,1,0.03,45,1.38,0,0,0,0,0,0,0,0,0,0,0,0,22,0.67,2,0.06,10,0.31,1,0.03,0,0,0,0,0,0,0,0,236,7.23,371,11.37,0,0,267,8.18,243,7.44,0,0,974,29.84,"1,136",34.8,2,0.06,14,0.43,21,0.64,0,0,"3,264"
038 Fourteenth Essex District,70,3.84,110,6.03,67,3.68,61,3.35,145,7.95,0,0,27,1.48,50,2.74,32,1.76,52,2.85,112,6.14,0,0,173,9.49,223,12.23,138,7.57,162,8.89,382,20.95,0,0,4,0.22,6,0.33,4,0.22,2,0.11,3,0.16,0,0,4,0.22,0,0,2,0.11,7,0.38,6,0.33,6,0.33,249,13.66,17,0.93,99,5.43,20,1.1,12,0.66,11,0.6,0,0,20,1.1,0,0,0,0,0,0,0,0,1,0.05,2,0.11,200,10.97,3,0.16,57,3.13,1,0.05,1,0.05,0,0,0,0,8,0.44,1,0.05,3,0.16,3,0.16,39,2.14,4,0.22,10,0.55,695,38.12,21,1.15,221,12.12,17,0.93,12,0.66,4,0.22,0,0,48,2.63,0,0,0,0,0,0,0,0,0,0,0,0,8,0.44,1,0.05,8,0.44,1,0.05,0,0,0,0,0,0,1,0.05,190,10.42,257,14.1,6,0.33,154,8.45,119,6.53,0,0,511,28.03,556,30.5,11,0.6,9,0.49,9,0.49,1,0.05,"1,823"
042 Eighteenth Essex District,788,2.49,"1,224",3.87,"1,043",3.3,"1,301",4.11,"2,653",8.39,0,0,480,1.52,752,2.38,667,2.11,"1,002",3.17,"2,218",7.01,0,0,"2,525",7.98,"3,531",11.17,"2,790",8.82,"3,318",10.49,"7,074",22.37,0,0,69,0.22,84,0.27,42,0.13,32,0.1,31,0.1,0,0,7,0.02,23,0.07,25,0.08,281,0.89,49,0.15,98,0.31,"4,883",15.44,190,0.6,"1,039",3.29,93,0.29,82,0.26,60,0.19,0,0,179,0.57,1,0,1,0,4,0.01,80,0.25,16,0.05,46,0.15,"4,104",12.98,61,0.19,657,2.08,22,0.07,26,0.08,7,0.02,0,0,94,0.3,12,0.04,35,0.11,18,0.06,838,2.65,127,0.4,278,0.88,"14,035",44.38,384,1.21,"2,788",8.82,106,0.34,93,0.29,61,0.19,0,0,463,1.46,0,0,0,0,0,0,3,0.01,0,0,0,0,178,0.56,5,0.02,56,0.18,2,0.01,1,0,0,0,0,0,13,0.04,"2,786",8.81,"4,201",13.28,22,0.07,"2,889",9.14,"2,223",7.03,7,0.02,"9,460",29.91,"9,710",30.7,68,0.22,140,0.44,117,0.37,1,0,"31,624"
